City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Nizwa,OM,22.9333,57.5333,82.4,67,100,14.29,moderate rain
265,Omsukchan,RU,62.5333,155.8,50.76,88,100,4.45,overcast clouds
266,Terra Santa,BR,-2.1042,-56.4869,85.71,61,78,2.75,broken clouds
267,Cidreira,BR,-30.1811,-50.2056,62.8,93,100,10.25,overcast clouds
268,Carnarvon,AU,-24.8667,113.6333,63.1,48,0,10.16,clear sky
269,Patan,NP,27.6667,85.3333,73.78,94,40,2.3,scattered clouds
270,Carutapera,BR,-1.195,-46.02,78.42,88,32,7.0,scattered clouds
271,Constitucion,CL,-35.3333,-72.4167,53.08,70,78,7.38,broken clouds
272,Zhuanghe,CN,39.7008,122.9911,71.08,86,100,4.74,overcast clouds
273,Brokopondo,SR,4.75,-55.1667,83.86,67,56,4.29,broken clouds
274,Kedrovyy,RU,56.1667,91.8167,52.21,79,100,6.08,overcast clouds
275,Capaci,IT,38.1711,13.2393,91.94,47,0,4.61,clear sky
276,Zaysan,KZ,47.4667,84.8667,64.2,56,96,10.89,overcast clouds
277,Gushikawa,JP,26.3544,127.8686,79.83,94,75,6.91,broken clouds
278,Yelniki,RU,54.6207,43.876,55.26,80,29,7.07,scattered clouds
279,Muros,ES,42.7762,-9.0603,74.08,62,0,12.59,clear sky
280,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,82,75,17.27,broken clouds
281,Chuy,UY,-33.6971,-53.4616,55.67,87,66,9.51,broken clouds
282,Coihaique,CL,-45.5752,-72.0662,37.35,93,75,6.91,light rain
283,Markova,UA,48.6758,24.4138,62.24,96,66,2.93,light rain
284,San Francisco,US,37.7749,-122.4194,81.99,84,75,17.27,broken clouds
285,Hay River,CA,60.8156,-115.7999,71.58,37,20,12.66,smoke
286,Maumere,ID,-8.6199,122.2111,76.41,71,75,12.95,broken clouds
287,Dunedin,NZ,-45.8742,170.5036,45.81,63,89,15.01,overcast clouds
288,Cimarron Hills,US,38.8586,-104.6989,91.22,28,75,9.22,thunderstorm
289,Wanaka,NZ,-44.7,169.15,34.11,82,40,3.0,scattered clouds
290,Padre Bernardo,BR,-15.35,-48.5,81.3,27,0,5.66,clear sky
291,Hirara,JP,24.8,125.2833,83.73,79,17,18.01,few clouds
292,Yar-Sale,RU,66.8333,70.8333,52.47,96,90,5.77,overcast clouds
293,Lazaro Cardenas,MX,17.9583,-102.2,85.41,70,41,11.12,scattered clouds
294,Babstovo,RU,48.1167,132.4833,69.03,94,43,3.58,scattered clouds
295,Pizarro,CO,4.9533,-77.366,79.21,86,72,8.01,light rain
296,Mettur,IN,11.8,77.8,75.43,89,100,3.53,overcast clouds
297,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,100,2.24,overcast clouds
298,Ust-Ordynskiy,RU,52.805,104.7508,52.0,92,100,1.9,overcast clouds
299,Uthal,PK,25.8072,66.6219,88.9,71,99,4.16,overcast clouds
300,Rio Grande,BR,-32.035,-52.0986,57.31,94,99,4.94,light rain
301,Kaitangata,NZ,-46.2817,169.8464,45.55,73,63,13.4,broken clouds
302,Miraflores,MX,19.2167,-98.8083,76.03,57,96,5.17,overcast clouds
